SalePrice,GrLivArea
197500,1381
143000,1328
116500,858
76500,1306
87000,765
128000,1196
132000,1453
139900,1416
123900,1040
144500,1074
129000,1144
128000,1172
186000,1212
114000,1298
84900,640
144000,1196
125200,1096
90000,960
140000,1121
113000,1487
80000,924
58500,864
187500,1472
167900,1116
158000,1193
165000,1350
185000,1442
185750,1489
162000,1395
163000,1336
167900,1334
172500,1320
161500,1342
82500,708
110000,1203
149000,1432
121000,952
128000,1324
134900,1176
117000,1348
132500,1412
93000,1142
119000,904
100000,1301
60000,800
105000,875
126500,1072
159900,1152
61000,904
103600,1369
63000,1112
135000,1229
82500,861
122000,1383
121500,1073
113000,672
125000,1089
84000,845
139500,1049
105000,1258
108000,1126
167000,1486
100000,816
159500,1426
127000,1149
145500,1072
118000,698
85000,876
120000,1368
99900,864
82000,944
110000,1196
122000,1298
175500,1422
181900,1260
161000,1211
146900,1308
159900,1444
157000,1178
183000,1427
72500,720
52000,729
118000,1077
87000,906
138000,1143
79500,935
109500,784
124000,1210
106900,1290
119000,949
120000,1158
157000,1497
105000,1342
113000,1013
115000,1216
123000,1136
81300,808
128000,1362
127000,1285
130000,838
127500,1355
177000,1357
125600,1079
155000,1094
99600,864
134500,1269
119000,1367
107500,1347
125000,1164
79000,1096
95000,1111
85000,796
147500,1256
135000,1127
108000,996
137500,1181
147000,1117
160500,1398
176000,1132
148000,1072
118000,1440
82500,1152
91900,784
96000,1137
99000,930
130500,1200
135000,1470
135500,1393
108000,1292
98000,864
67000,864
182900,1440
176000,1479
148000,1032
151500,1177
192350,1353
170000,1220
175000,1484
174000,1324
143450,1152
162500,1082
164000,1295
158500,1093
175500,1242
127000,1052
64500,666
64000,670
112000,808
136500,1060
128250,1435
144000,1167
135000,1274
128000,1232
131000,1218
113000,884
126000,1409
132000,1322
131750,1426
132500,1281
132000,854
127500,1367
102000,986
165000,1376
153575,1396
216000,1325
109900,1242
80000,943
86000,605
130000,1038
125000,1342
136500,1480
96000,1362
120000,1340
140000,1214
110000,1088
94750,960
122000,1351
110000,1179
118500,816
133500,1044
148000,1113
157000,1090
171500,1408
140000,1072
131750,960
61500,1152
111000,948
79000,774
108500,865
112000,1346
125000,768
119000,948
169000,1102
172000,1083
153500,1074
181000,1309
155000,1103
146500,1193
179900,1416
164500,1334
140000,1164
85500,869
79900,747
127000,1252
114500,1176
115000,1344
80500,912
110000,1324
89000,616
113000,1048
109000,816
129000,960
125000,1032
146000,1350
135000,1488
137000,1057
123500,1148
93000,1124
91500,1456
98000,1436
149900,1466
102000,1220
117250,914
145000,1072
97900,936
104900,1221
115000,864
116000,1250
121000,1273
